prompt,prompt_template,gene_misspelled,gene,chr_name,start,end,igscreen_link_gene,igscreen_link_region
What cCREs are annotated in chr16:68020916-68023232?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,16,68020916,68023232,,https://igscreen.wenglab.org/region/chr16:68020916-68023232/browser
What cCREs are annotated in chr18:63476958-63505085?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,18,63476958,63505085,,https://igscreen.wenglab.org/region/chr18:63476958-63505085/browser
What cCREs are annotated in chr9:35791003-35809732?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,9,35791003,35809732,,https://igscreen.wenglab.org/region/chr9:35791003-35809732/browser
What cCREs are annotated in chr19:54850443-54867209?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,19,54850443,54867209,,https://igscreen.wenglab.org/region/chr19:54850443-54867209/browser
What cCREs are annotated in chr1:144592893-144593652?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,144592893,144593652,,https://igscreen.wenglab.org/region/chr1:144592893-144593652/browser
What cCREs are annotated in chr6:143536845-143831185?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,6,143536845,143831185,,https://igscreen.wenglab.org/region/chr6:143536845-143831185/browser
What cCREs are annotated in chr19:35774532-35788822?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,19,35774532,35788822,,https://igscreen.wenglab.org/region/chr19:35774532-35788822/browser
What cCREs are annotated in chr6:21593751-21598619?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,6,21593751,21598619,,https://igscreen.wenglab.org/region/chr6:21593751-21598619/browser
What cCREs are annotated in chr2:5692384-5701385?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,2,5692384,5701385,,https://igscreen.wenglab.org/region/chr2:5692384-5701385/browser
What cCREs are annotated in chrX:16650158-16654670?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,X,16650158,16654670,,https://igscreen.wenglab.org/region/chrX:16650158-16654670/browser
What cCREs are annotated in chr1:151159748-151165948?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,151159748,151165948,,https://igscreen.wenglab.org/region/chr1:151159748-151165948/browser
What cCREs are annotated in chr16:3500976-3539048?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,16,3500976,3539048,,https://igscreen.wenglab.org/region/chr16:3500976-3539048/browser
What cCREs are annotated in chr3:155763043-155854442?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,3,155763043,155854442,,https://igscreen.wenglab.org/region/chr3:155763043-155854442/browser
What cCREs are annotated in chr12:105107324-105169130?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,12,105107324,105169130,,https://igscreen.wenglab.org/region/chr12:105107324-105169130/browser
What cCREs are annotated in chr12:53251251-53254406?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,12,53251251,53254406,,https://igscreen.wenglab.org/region/chr12:53251251-53254406/browser
What cCREs are annotated in chr9:133361450-133376166?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,9,133361450,133376166,,https://igscreen.wenglab.org/region/chr9:133361450-133376166/browser
What cCREs are annotated in chr2:47345158-47387601?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,2,47345158,47387601,,https://igscreen.wenglab.org/region/chr2:47345158-47387601/browser
What cCREs are annotated in chr9:101533853-101563344?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,9,101533853,101563344,,https://igscreen.wenglab.org/region/chr9:101533853-101563344/browser
What cCREs are annotated in chr9:120751978-120793416?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,9,120751978,120793416,,https://igscreen.wenglab.org/region/chr9:120751978-120793416/browser
What cCREs are annotated in chr7:88794106-88795737?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,7,88794106,88795737,,https://igscreen.wenglab.org/region/chr7:88794106-88795737/browser
What cCREs are annotated in chr7:102285091-102321711?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,7,102285091,102321711,,https://igscreen.wenglab.org/region/chr7:102285091-102321711/browser
What cCREs are annotated in chrX:9967358-9968352?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,X,9967358,9968352,,https://igscreen.wenglab.org/region/chrX:9967358-9968352/browser
What cCREs are annotated in chr11:85683848-85686195?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,11,85683848,85686195,,https://igscreen.wenglab.org/region/chr11:85683848-85686195/browser
What cCREs are annotated in chr4:140257286-140385728?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,4,140257286,140385728,,https://igscreen.wenglab.org/region/chr4:140257286-140385728/browser
What cCREs are annotated in chr7:128709061-128731743?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,7,128709061,128731743,,https://igscreen.wenglab.org/region/chr7:128709061-128731743/browser
What cCREs are annotated in chr6:110424687-110476641?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,6,110424687,110476641,,https://igscreen.wenglab.org/region/chr6:110424687-110476641/browser
What cCREs are annotated in chr9:4679559-4708399?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,9,4679559,4708399,,https://igscreen.wenglab.org/region/chr9:4679559-4708399/browser
What cCREs are annotated in chr18:63907958-63936111?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,18,63907958,63936111,,https://igscreen.wenglab.org/region/chr18:63907958-63936111/browser
What cCREs are annotated in chr5:168529305-168530634?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,5,168529305,168530634,,https://igscreen.wenglab.org/region/chr5:168529305-168530634/browser
What cCREs are annotated in chr8:22987417-23020509?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,8,22987417,23020509,,https://igscreen.wenglab.org/region/chr8:22987417-23020509/browser
What cCREs are annotated in chr20:51003656-51023107?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,20,51003656,51023107,,https://igscreen.wenglab.org/region/chr20:51003656-51023107/browser
What cCREs are annotated in chr19:1508023-1536046?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,19,1508023,1536046,,https://igscreen.wenglab.org/region/chr19:1508023-1536046/browser
What cCREs are annotated in chr3:150882997-150941743?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,3,150882997,150941743,,https://igscreen.wenglab.org/region/chr3:150882997-150941743/browser
What cCREs are annotated in chr17:7572824-7579006?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,17,7572824,7579006,,https://igscreen.wenglab.org/region/chr17:7572824-7579006/browser
What cCREs are annotated in chr4:103019868-103085829?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,4,103019868,103085829,,https://igscreen.wenglab.org/region/chr4:103019868-103085829/browser
What cCREs are annotated in chr11:108008898-108107761?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,11,108008898,108107761,,https://igscreen.wenglab.org/region/chr11:108008898-108107761/browser
What cCREs are annotated in chr7:107563484-107578523?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,7,107563484,107578523,,https://igscreen.wenglab.org/region/chr7:107563484-107578523/browser
What cCREs are annotated in chr21:31038159-31038476?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,21,31038159,31038476,,https://igscreen.wenglab.org/region/chr21:31038159-31038476/browser
What cCREs are annotated in chr8:142834247-142916506?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,8,142834247,142916506,,https://igscreen.wenglab.org/region/chr8:142834247-142916506/browser
What cCREs are annotated in chr2:104853287-104858574?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,2,104853287,104858574,,https://igscreen.wenglab.org/region/chr2:104853287-104858574/browser
What cCREs are annotated in chr15:99098217-99135593?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,15,99098217,99135593,,https://igscreen.wenglab.org/region/chr15:99098217-99135593/browser
What cCREs are annotated in chr5:76850001-76921650?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,5,76850001,76921650,,https://igscreen.wenglab.org/region/chr5:76850001-76921650/browser
What cCREs are annotated in chr1:74469376-74512611?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,74469376,74512611,,https://igscreen.wenglab.org/region/chr1:74469376-74512611/browser
What cCREs are annotated in chr4:15469865-15601552?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,4,15469865,15601552,,https://igscreen.wenglab.org/region/chr4:15469865-15601552/browser
What cCREs are annotated in chr1:103617427-103625780?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,103617427,103625780,,https://igscreen.wenglab.org/region/chr1:103617427-103625780/browser
What cCREs are annotated in chr16:83899115-83951445?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,16,83899115,83951445,,https://igscreen.wenglab.org/region/chr16:83899115-83951445/browser
What cCREs are annotated in chr1:224175756-224193441?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,224175756,224193441,,https://igscreen.wenglab.org/region/chr1:224175756-224193441/browser
What cCREs are annotated in chr19:38647649-38731589?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,19,38647649,38731589,,https://igscreen.wenglab.org/region/chr19:38647649-38731589/browser
What cCREs are annotated in chr20:5950652-5998977?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,20,5950652,5998977,,https://igscreen.wenglab.org/region/chr20:5950652-5998977/browser
What cCREs are annotated in chr8:10606349-10712187?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,8,10606349,10712187,,https://igscreen.wenglab.org/region/chr8:10606349-10712187/browser
What cCREs are annotated in chr5:177511577-177516961?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,5,177511577,177516961,,https://igscreen.wenglab.org/region/chr5:177511577-177516961/browser
What cCREs are annotated in chr1:201134772-201171574?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,201134772,201171574,,https://igscreen.wenglab.org/region/chr1:201134772-201171574/browser
What cCREs are annotated in chr6:24797373-24809798?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,6,24797373,24809798,,https://igscreen.wenglab.org/region/chr6:24797373-24809798/browser
What cCREs are annotated in chr16:82035004-82098534?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,16,82035004,82098534,,https://igscreen.wenglab.org/region/chr16:82035004-82098534/browser
What cCREs are annotated in chr7:126438598-127253093?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,7,126438598,127253093,,https://igscreen.wenglab.org/region/chr7:126438598-127253093/browser
What cCREs are annotated in chr11:75586918-75669038?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,11,75586918,75669038,,https://igscreen.wenglab.org/region/chr11:75586918-75669038/browser
What cCREs are annotated in chr16:3222325-3236221?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,16,3222325,3236221,,https://igscreen.wenglab.org/region/chr16:3222325-3236221/browser
What cCREs are annotated in chr10:96129715-96205288?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,10,96129715,96205288,,https://igscreen.wenglab.org/region/chr10:96129715-96205288/browser
What cCREs are annotated in chr7:15611212-15686683?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,7,15611212,15686683,,https://igscreen.wenglab.org/region/chr7:15611212-15686683/browser
What cCREs are annotated in chr20:25195693-25228075?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,20,25195693,25228075,,https://igscreen.wenglab.org/region/chr20:25195693-25228075/browser
What cCREs are annotated in chr19:2100988-2164468?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,19,2100988,2164468,,https://igscreen.wenglab.org/region/chr19:2100988-2164468/browser
What cCREs are annotated in chr5:172042079-172188224?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,5,172042079,172188224,,https://igscreen.wenglab.org/region/chr5:172042079-172188224/browser
What cCREs are annotated in chr16:54930865-54934485?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,16,54930865,54934485,,https://igscreen.wenglab.org/region/chr16:54930865-54934485/browser
What cCREs are annotated in chr21:14961235-15065936?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,21,14961235,15065936,,https://igscreen.wenglab.org/region/chr21:14961235-15065936/browser
What cCREs are annotated in chr16:48244300-48363122?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,16,48244300,48363122,,https://igscreen.wenglab.org/region/chr16:48244300-48363122/browser
What cCREs are annotated in chr19:43584367-43596134?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,19,43584367,43596134,,https://igscreen.wenglab.org/region/chr19:43584367-43596134/browser
What cCREs are annotated in chr1:151800264-151805419?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,151800264,151805419,,https://igscreen.wenglab.org/region/chr1:151800264-151805419/browser
What cCREs are annotated in chrX:67544021-67730619?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,X,67544021,67730619,,https://igscreen.wenglab.org/region/chrX:67544021-67730619/browser
What cCREs are annotated in chr15:34102083-34108686?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,15,34102083,34108686,,https://igscreen.wenglab.org/region/chr15:34102083-34108686/browser
What cCREs are annotated in chr3:16313574-16514026?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,3,16313574,16514026,,https://igscreen.wenglab.org/region/chr3:16313574-16514026/browser
What cCREs are annotated in chrX:153444473-153470587?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,X,153444473,153470587,,https://igscreen.wenglab.org/region/chrX:153444473-153470587/browser
What cCREs are annotated in chr17:42609641-42615238?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,17,42609641,42615238,,https://igscreen.wenglab.org/region/chr17:42609641-42615238/browser
What cCREs are annotated in chr17:35092221-35121522?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,17,35092221,35121522,,https://igscreen.wenglab.org/region/chr17:35092221-35121522/browser
What cCREs are annotated in chr7:100679507-100694250?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,7,100679507,100694250,,https://igscreen.wenglab.org/region/chr7:100679507-100694250/browser
What cCREs are annotated in chr1:210232796-210246631?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,210232796,210246631,,https://igscreen.wenglab.org/region/chr1:210232796-210246631/browser
What cCREs are annotated in chrX:41447343-41475710?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,X,41447343,41475710,,https://igscreen.wenglab.org/region/chrX:41447343-41475710/browser
What cCREs are annotated in chr1:32651142-32686211?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,32651142,32686211,,https://igscreen.wenglab.org/region/chr1:32651142-32686211/browser
What cCREs are annotated in chr12:48766194-48789089?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,12,48766194,48789089,,https://igscreen.wenglab.org/region/chr12:48766194-48789089/browser
What cCREs are annotated in chr12:53990624-54030823?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,12,53990624,54030823,,https://igscreen.wenglab.org/region/chr12:53990624-54030823/browser
What cCREs are annotated in chr5:138465479-138469303?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,5,138465479,138469303,,https://igscreen.wenglab.org/region/chr5:138465479-138469303/browser
What cCREs are annotated in chr19:3933069-3942416?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,19,3933069,3942416,,https://igscreen.wenglab.org/region/chr19:3933069-3942416/browser
What cCREs are annotated in chr2:73761782-73780173?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,2,73761782,73780173,,https://igscreen.wenglab.org/region/chr2:73761782-73780173/browser
What cCREs are annotated in chr14:66411704-66498677?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,14,66411704,66498677,,https://igscreen.wenglab.org/region/chr14:66411704-66498677/browser
What cCREs are annotated in chr12:109448655-109477359?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,12,109448655,109477359,,https://igscreen.wenglab.org/region/chr12:109448655-109477359/browser
List cCREs found between 34179005 and 34252523 on chromosome 9.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,9,34179005,34252523,,https://igscreen.wenglab.org/region/chr9:34179005-34252523/browser
List cCREs found between 30092314 and 30096915 on chromosome 16.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,16,30092314,30096915,,https://igscreen.wenglab.org/region/chr16:30092314-30096915/browser
List cCREs found between 102501767 and 102509799 on chromosome 14.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,14,102501767,102509799,,https://igscreen.wenglab.org/region/chr14:102501767-102509799/browser
List cCREs found between 49805209 and 49813953 on chromosome 3.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,3,49805209,49813953,,https://igscreen.wenglab.org/region/chr3:49805209-49813953/browser
List cCREs found between 101271219 and 101308701 on chromosome 2.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,2,101271219,101308701,,https://igscreen.wenglab.org/region/chr2:101271219-101308701/browser
List cCREs found between 19941371 and 19969975 on chromosome 22.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,22,19941371,19969975,,https://igscreen.wenglab.org/region/chr22:19941371-19969975/browser
List cCREs found between 31622246 and 31685836 on chromosome 18.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,18,31622246,31685836,,https://igscreen.wenglab.org/region/chr18:31622246-31685836/browser
List cCREs found between 49976923 and 50033136 on chromosome 12.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,12,49976923,50033136,,https://igscreen.wenglab.org/region/chr12:49976923-50033136/browser
List cCREs found between 73951026 and 73970366 on chromosome 11.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,11,73951026,73970366,,https://igscreen.wenglab.org/region/chr11:73951026-73970366/browser
List cCREs found between 11275639 and 11276480 on chromosome 16.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,16,11275639,11276480,,https://igscreen.wenglab.org/region/chr16:11275639-11276480/browser
List cCREs found between 74519000 and 74531475 on chromosome 17.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,17,74519000,74531475,,https://igscreen.wenglab.org/region/chr17:74519000-74531475/browser
List cCREs found between 119498547 and 119525090 on chromosome 3.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,3,119498547,119525090,,https://igscreen.wenglab.org/region/chr3:119498547-119525090/browser
List cCREs found between 59958423 and 60034011 on chromosome 20.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,20,59958423,60034011,,https://igscreen.wenglab.org/region/chr20:59958423-60034011/browser
List cCREs found between 107774704 and 107776644 on chromosome 12.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,12,107774704,107776644,,https://igscreen.wenglab.org/region/chr12:107774704-107776644/browser
List cCREs found between 31937007 and 32001045 on chromosome 17.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,17,31937007,32001045,,https://igscreen.wenglab.org/region/chr17:31937007-32001045/browser
List cCREs found between 31122731 and 31134697 on chromosome 22.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,22,31122731,31134697,,https://igscreen.wenglab.org/region/chr22:31122731-31134697/browser
List cCREs found between 42784991 and 42816619 on chromosome 1.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,1,42784991,42816619,,https://igscreen.wenglab.org/region/chr1:42784991-42816619/browser
List cCREs found between 33266367 and 33311420 on chromosome 21.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,21,33266367,33311420,,https://igscreen.wenglab.org/region/chr21:33266367-33311420/browser
List cCREs found between 47850690 and 48089272 on chromosome 3.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,3,47850690,48089272,,https://igscreen.wenglab.org/region/chr3:47850690-48089272/browser
List cCREs found between 62728069 and 62740293 on chromosome 11.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,11,62728069,62740293,,https://igscreen.wenglab.org/region/chr11:62728069-62740293/browser
List cCREs found between 23747562 and 23751268 on chromosome 20.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,20,23747562,23751268,,https://igscreen.wenglab.org/region/chr20:23747562-23751268/browser
List cCREs found between 32481312 and 32502852 on chromosome 3.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,3,32481312,32502852,,https://igscreen.wenglab.org/region/chr3:32481312-32502852/browser
List cCREs found between 224227334 and 224330189 on chromosome 1.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,1,224227334,224330189,,https://igscreen.wenglab.org/region/chr1:224227334-224330189/browser
List cCREs found between 103237591 and 103495978 on chromosome 12.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,12,103237591,103495978,,https://igscreen.wenglab.org/region/chr12:103237591-103495978/browser
List cCREs found between 52794768 and 52808799 on chromosome 3.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,3,52794768,52808799,,https://igscreen.wenglab.org/region/chr3:52794768-52808799/browser
List cCREs found between 73787872 and 73865133 on chromosome 11.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,11,73787872,73865133,,https://igscreen.wenglab.org/region/chr11:73787872-73865133/browser
List cCREs found between 75664328 and 75667220 on chromosome 3.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,3,75664328,75667220,,https://igscreen.wenglab.org/region/chr3:75664328-75667220/browser
List cCREs found between 69611596 and 69715144 on chromosome 14.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,14,69611596,69715144,,https://igscreen.wenglab.org/region/chr14:69611596-69715144/browser
List cCREs found between 131373636 and 131500197 on chromosome 9.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,9,131373636,131500197,,https://igscreen.wenglab.org/region/chr9:131373636-131500197/browser
List cCREs found between 201387858 and 201480846 on chromosome 2.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,2,201387858,201480846,,https://igscreen.wenglab.org/region/chr2:201387858-201480846/browser
List cCREs found between 31038159 and 31038476 on chromosome 21.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,21,31038159,31038476,,https://igscreen.wenglab.org/region/chr21:31038159-31038476/browser
List cCREs found between 101078879 and 101096367 on chromosome X.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,X,101078879,101096367,,https://igscreen.wenglab.org/region/chrX:101078879-101096367/browser
List cCREs found between 21440128 and 21485005 on chromosome 1.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,1,21440128,21485005,,https://igscreen.wenglab.org/region/chr1:21440128-21485005/browser
List cCREs found between 123416726 and 123470028 on chromosome 8.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,8,123416726,123470028,,https://igscreen.wenglab.org/region/chr8:123416726-123470028/browser
List cCREs found between 55519604 and 55545079 on chromosome 2.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,2,55519604,55545079,,https://igscreen.wenglab.org/region/chr2:55519604-55545079/browser
List cCREs found between 186717348 and 186744410 on chromosome 3.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,3,186717348,186744410,,https://igscreen.wenglab.org/region/chr3:186717348-186744410/browser
List cCREs found between 333933 and 386955 on chromosome X.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,X,333933,386955,,https://igscreen.wenglab.org/region/chrX:333933-386955/browser
List cCREs found between 52287089 and 52295257 on chromosome 3.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,3,52287089,52295257,,https://igscreen.wenglab.org/region/chr3:52287089-52295257/browser
List cCREs found between 12377563 and 12535356 on chromosome 11.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,11,12377563,12535356,,https://igscreen.wenglab.org/region/chr11:12377563-12535356/browser
List cCREs found between 34180729 and 34371381 on chromosome 21.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,21,34180729,34371381,,https://igscreen.wenglab.org/region/chr21:34180729-34371381/browser
List cCREs found between 5542772 and 5709548 on chromosome 4.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,4,5542772,5709548,,https://igscreen.wenglab.org/region/chr4:5542772-5709548/browser
List cCREs found between 81976807 and 82017406 on chromosome 17.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,17,81976807,82017406,,https://igscreen.wenglab.org/region/chr17:81976807-82017406/browser
List cCREs found between 42085526 and 42090884 on chromosome 22.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,22,42085526,42090884,,https://igscreen.wenglab.org/region/chr22:42085526-42090884/browser
List cCREs found between 6783020 and 6791558 on chromosome 11.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,11,6783020,6791558,,https://igscreen.wenglab.org/region/chr11:6783020-6791558/browser
List cCREs found between 10081317 and 10108255 on chromosome 3.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,3,10081317,10108255,,https://igscreen.wenglab.org/region/chr3:10081317-10108255/browser
List cCREs found between 49605175 and 49636839 on chromosome 6.,List cCREs found between {start} and {end} on chromosome {chr}.,False,,6,49605175,49636839,,https://igscreen.wenglab.org/region/chr6:49605175-49636839/browser
